player_name,player_key,ppn,player_full_name,matched_by,fuzzy_score,is_correct
Carlo Alberto Caniato,24283.0,C. A. Caniato,Alberto Caniato Carlo,sorted_name,,ok
Carlo Alberto Fossati,37860.0,C. Fossati,Alberto Fossati Carlo,sorted_name,,ok
Genaro Alberto Olivieri,2407.0,G. A. Olivieri,Alberto Olivieri Genaro,sorted_name,,ok
Alberto Lim,61208.0,A. Lim,Alberto Lim,sorted_name,,ok
Alberto Morolli,13166.0,A. Morolli,Alberto Morolli,sorted_name,,ok
Gustavo Albieri,81594.0,G. Albieri,Gustavo Albieri,sorted_name,,ok
Nicolas Moreno De Alboran,1179.0,N. Moreno De Alboran,Nicolas Moreno De Alboran,sorted_name,,ok
Radu Albot,363.0,R. Albot,Radu Albot,sorted_name,,ok
Max Alcala Gurri,678.0,M. Alcala Gurri,Max Alcala Gurri,sorted_name,,ok
Carlos Alcaraz,2382.0,C. Alcaraz,Carlos Alcaraz,sorted_name,,ok
Aldin Setkic,1204.0,A. Setkic,Aldin Setkic,sorted_name,,ok
Alec Beckley,642.0,A. Beckley,Alec Beckley,sorted_name,,ok
Alec Deckers,10019.0,A. Deckers,Alec Deckers,sorted_name,,ok
Alejandro Turriziani Alvarez,38023.0,A. Turriziani Alvarez,Alejandro Turriziani Alvarez,sorted_name,,ok
Alejandro Arcila,52705.0,A. Arcila,Alejandro Arcila,sorted_name,,ok
Alejandro Bancalari,25453.0,A. Bancalari,Alejandro Bancalari,sorted_name,,ok
Alejandro Moro Canas,1331.0,A. Moro Canas,Alejandro Moro Canas,sorted_name,,ok
Alejandro Garcia Carbajal,77249.0,A. G. Carbajal,Garcia Carbajal Alejandro,sorted_name,,ok
Alejandro Davidovich Fokina,2842.0,A. Davidovich Fokina,Alejandro Davidovich Fokina,sorted_name,,ok
Alejandro Lopez Escribano,55549.0,A. Lopez Escribano,Alejandro Lopez Escribano,sorted_name,,ok
Alejandro Hayen,67455.0,A. Hayen,Alejandro Hayen,sorted_name,,ok
Alejandro Jacome Jaramillo,69525.0,A. Jacome Jaramillo,Alejandro Jacome Jaramillo,sorted_name,,ok
Alejandro Juan Mano,52069.0,A. Juan Mano,Alejandro Juan Mano,sorted_name,,ok
Alejandro Melero Kretzer,40168.0,. A. Melero K.,Alejandro Melero Kretzer,sorted_name,,ok
Samuel Alejandro Linde Palacios,67049.0,S. A. Linde P.,Alejandro Linde Palacios Samuel,sorted_name,,ok
Alejandro Manzanera Pertusa,9367.0,A. Manzanera Pertusa,Alejandro Manzanera Pertusa,sorted_name,,ok
Alejandro Moreno,55591.0,A. Moreno,Alejandro Moreno,sorted_name,,ok
Oswaldo Alejandro Reyes Tirado,80506.0,O. A. Reyes T.,Alejandro Reyes Tirado Oswaldo,sorted_name,,ok
Alejandro Tabilo,2982.0,A. Tabilo,Alejandro Tabilo,sorted_name,,ok
Alejo Lorenzo Lingua Lavallen,9594.0,A. L. Lingua Lavallen,Lorenzo Lingua Lavallen Alejo,sorted_name,,ok
Alejo Sanchez Quilez,52692.0,A. Sanchez Quilez,Alejo Sanchez Quilez,sorted_name,,ok
Aleksa Ciric,60100.0,A. Ciric,Aleksa Ciric,sorted_name,,ok
Aleksa Pisaric,39023.0,A. Pisaric,Aleksa Pisaric,sorted_name,,ok
Daniel Aleksandar Amarandei,91823.0,D. A. Amarandei,Aleksandar Amarandei Daniel,sorted_name,,ok
Aleksandar Kovacevic,2978.0,A. Kovacevic,Aleksandar Kovacevic,sorted_name,,ok
Aleksandar Mihailovic,40749.0,A. Mihailovic,Aleksandar Mihailovic,sorted_name,,ok
Aleksandar Vukic,360.0,A. Vukic,Aleksandar Vukic,sorted_name,,ok
Aleksander Chayka,59293.0,A. Chayka,Aleksander Chayka,sorted_name,,ok
Aleksander Orlikowski,9237.0,A. Orlikowski,Aleksander Orlikowski,sorted_name,,ok
Aleksandr Braynin,10487.0,A. Braynin,Aleksandr Braynin,sorted_name,,ok
Aleksandr Lobanov,677.0,A. Lobanov,Aleksandr Lobanov,sorted_name,,ok
Aleksandre Bakshi,1303.0,A. Bakshi,Aleksandre Bakshi,sorted_name,,ok
Aleksi Lofman,12968.0,A. Lofman,Aleksi Lofman,sorted_name,,ok
Alen Mujakic,10228.0,A. Mujakic,Alen Mujakic,sorted_name,,ok
Alexey Aleshchev,49576.0,A. Aleshchev,Alexey Aleshchev,sorted_name,,ok
Alessandro Battiston,68379.0,A. Battiston,Alessandro Battiston,sorted_name,,ok
Alessandro Bellifemine,38105.0,A. Bellifemine,Alessandro Bellifemine,sorted_name,,ok
Alessandro Coccioli,40221.0,A. Coccioli,Alessandro Coccioli,sorted_name,,ok
Alessandro Pecci,2478.0,A. Pecci,Alessandro Pecci,sorted_name,,ok
Alessandro Spadola,14613.0,A. Spadola,Alessandro Spadola,sorted_name,,ok
Alessio Basile,10859.0,A. Basile,Alessio Basile,sorted_name,,ok
