place,player,player_key,league,movement,country,points,download_time
361,Jenny Duerst,2260.0,WTA,up,Switzerland,174,2026-02-14 02:29:48
362,Giorgia Pedone,10892.0,WTA,up,Italy,173,2026-02-14 02:29:48
363,Haley Giavara,1429.0,WTA,down,USA,173,2026-02-14 02:29:48
364,Hibah Shaikh,28034.0,WTA,up,USA,173,2026-02-14 02:29:48
365,Emina Bektas,1796.0,WTA,up,USA,172,2026-02-14 02:29:48
366,Katarina Kuzmova,13326.0,WTA,same,Slovakia,172,2026-02-14 02:29:48
367,Martina Capurro Taborda,1960.0,WTA,down,Argentina,171,2026-02-14 02:29:48
368,Eva Bennemann,57345.0,WTA,down,Germany,171,2026-02-14 02:29:48
369,Martha Matoula,34.0,WTA,up,Greece,170,2026-02-14 02:29:48
370,Wushuang Zheng,,WTA,up,China,169,2026-02-14 02:29:48
371,Ane Mintegi Del Olmo,9267.0,WTA,up,Spain,169,2026-02-14 02:29:48
372,Amandine Monnot,14242.0,WTA,down,France,168,2026-02-14 02:29:48
373,Elena Micic,10904.0,WTA,up,Australia,167,2026-02-14 02:29:48
374,Yasmine Kabbaj,37878.0,WTA,down,Morocco,167,2026-02-14 02:29:48
375,Cagla Buyukakcay,2988.0,WTA,up,Turkey,167,2026-02-14 02:29:48
376,Irina Bara,469.0,WTA,up,Romania,166,2026-02-14 02:29:48
377,Wilda Hennemann Caijsa,162.0,WTA,up,Sweden,166,2026-02-14 02:29:48
378,Zhuoxuan Bai,9107.0,WTA,up,China,165,2026-02-14 02:29:48
379,Darya Astakhova,1435.0,WTA,up,World,165,2026-02-14 02:29:48
380,Lucciana Perez Alarcon,38782.0,WTA,up,Peru,165,2026-02-14 02:29:48
381,Alina Granwehr,18373.0,WTA,down,Switzerland,165,2026-02-14 02:29:48
382,Denislava Glushkova,10906.0,WTA,up,Bulgaria,165,2026-02-14 02:29:48
383,Tatiana Pieri,1426.0,WTA,up,Italy,164,2026-02-14 02:29:48
384,Miriana Tona,22868.0,WTA,up,Italy,164,2026-02-14 02:29:48
385,Alexis Blokhina,1412.0,WTA,up,USA,162,2026-02-14 02:29:48
386,Kira Pavlova,13072.0,WTA,up,World,162,2026-02-14 02:29:48
387,Diletta Cherubini,1016.0,WTA,up,Italy,161,2026-02-14 02:29:48
388,Zhibek Kulambayeva,14355.0,WTA,up,Kazakhstan,161,2026-02-14 02:29:48
389,Dalila Jakupovic,1427.0,WTA,up,Slovenia,161,2026-02-14 02:29:48
390,Saki Imamura,1359.0,WTA,up,Japan,161,2026-02-14 02:29:48
391,Sandra Samir,8362.0,WTA,up,Egypt,161,2026-02-14 02:29:48
392,Victoria Hu,20331.0,WTA,up,USA,160,2026-02-14 02:29:48
393,Eri Shimizu,13810.0,WTA,down,Japan,160,2026-02-14 02:29:48
394,Ikumi Yamazaki,13990.0,WTA,up,Japan,159,2026-02-14 02:29:48
395,Cristina Diaz Adrover,64290.0,WTA,same,Spain,158,2026-02-14 02:29:48
396,Antonia Schmidt,1026.0,WTA,up,Germany,158,2026-02-14 02:29:48
397,Yasmine Mansouri,42.0,WTA,up,France,157,2026-02-14 02:29:48
398,Jodie Burrage,1437.0,WTA,up,United Kingdom,156,2026-02-14 02:29:48
399,Madison Brengle,2391.0,WTA,up,USA,156,2026-02-14 02:29:48
400,Ekaterina Kazionova,1985.0,WTA,down,World,156,2026-02-14 02:29:48
401,Amandine Hesse,2990.0,WTA,up,France,155,2026-02-14 02:29:48
402,Angelina Voloshchuk,39033.0,WTA,down,Portugal,155,2026-02-14 02:29:48
403,Ayano Shimizu,5085.0,WTA,up,Japan,155,2026-02-14 02:29:48
404,Gergana Topalova,169.0,WTA,up,Bulgaria,155,2026-02-14 02:29:48
405,Naiktha Bains,2567.0,WTA,up,United Kingdom,155,2026-02-14 02:29:48
406,Emily Appleton,2598.0,WTA,down,United Kingdom,154,2026-02-14 02:29:48
407,Valeriya Strakhova,148.0,WTA,up,Ukraine,154,2026-02-14 02:29:48
408,Martina Colmegna,1348.0,WTA,up,Italy,153,2026-02-14 02:29:48
409,Sofia Shapatava,120.0,WTA,up,Georgia,153,2026-02-14 02:29:48
410,Vittoria Paganetti,29728.0,WTA,up,Italy,152,2026-02-14 02:29:48
411,Ylena In-Albon,1110.0,WTA,up,Switzerland,151,2026-02-14 02:29:48
412,Sapfo Sakellaridi,226.0,WTA,up,Greece,151,2026-02-14 02:29:48
413,Tereza Martincova,1149.0,WTA,down,Czech Republic,150,2026-02-14 02:29:48
414,Astrid Lew Yan Foon,14241.0,WTA,up,France,150,2026-02-14 02:29:48
415,Maria Tig Patricia,3128.0,WTA,up,Romania,149,2026-02-14 02:29:48
416,Zongyu Li,22722.0,WTA,down,China,149,2026-02-14 02:29:48
417,Weronika Ewald,38788.0,WTA,up,Poland,149,2026-02-14 02:29:48
418,Karolina Pliskova,517.0,WTA,up,Czech Republic,147,2026-02-14 02:29:48
419,Victoria Rodriguez,5922.0,WTA,up,Mexico,147,2026-02-14 02:29:48
420,Sofya Lansere,69.0,WTA,up,World,146,2026-02-14 02:29:48
421,Martina Okalova,38017.0,WTA,up,Slovakia,145,2026-02-14 02:29:48
422,Nicole Fossa Huergo,15246.0,WTA,same,Argentina,144,2026-02-14 02:29:48
423,Zuzanna Pawlikowska,15409.0,WTA,down,Poland,143,2026-02-14 02:29:48
424,Lauren Davis,2389.0,WTA,up,USA,142,2026-02-14 02:29:48
425,Momoko Kobori,7356.0,WTA,up,Japan,142,2026-02-14 02:29:48
426,Jia-Jing Lu,1002.0,WTA,up,China,141,2026-02-14 02:29:48
427,Madelyn Nugroho Priska,9261.0,WTA,up,Indonesia,140,2026-02-14 02:29:48
428,Sahaja Yamalapalli,13919.0,WTA,up,India,140,2026-02-14 02:29:48
429,Hayu Kinoshita,10909.0,WTA,down,Japan,140,2026-02-14 02:29:48
430,Maria Mateas,111.0,WTA,up,USA,139,2026-02-14 02:29:48
431,Alana Smith,17346.0,WTA,up,USA,138,2026-02-14 02:29:48
432,Antonia Vergara Rivera,23356.0,WTA,up,Chile,138,2026-02-14 02:29:48
433,Kristiana Sidorova,57527.0,WTA,down,World,137,2026-02-14 02:29:48
434,Misaki Matsuda,1423.0,WTA,down,Japan,136,2026-02-14 02:29:48
435,Alice Tubello,7522.0,WTA,up,France,135,2026-02-14 02:29:48
436,Alicia Dudeney,37850.0,WTA,up,United Kingdom,135,2026-02-14 02:29:48
437,Madison Sieg,9246.0,WTA,down,USA,133,2026-02-14 02:29:48
438,Andreea Prisacariu,13793.0,WTA,up,Romania,133,2026-02-14 02:29:48
439,Victoria Allen,71438.0,WTA,up,United Kingdom,133,2026-02-14 02:29:48
440,Lamis Alhussein Abdel Aziz,13865.0,WTA,up,Egypt,133,2026-02-14 02:29:48
441,Anastasia Abbagnato,38052.0,WTA,up,Italy,132,2026-02-14 02:29:48
442,Patcharin Cheapchandej,5426.0,WTA,up,Thailand,132,2026-02-14 02:29:48
443,Aunchisa Chanta,,WTA,up,Thailand,132,2026-02-14 02:29:48
444,Aneta Kucmova,,WTA,up,Czech Republic,131,2026-02-14 02:29:48
445,Judith Visscher Stephanie,21.0,WTA,up,Netherlands,131,2026-02-14 02:29:48
446,Ekaterina Makarova,524.0,WTA,up,World,130,2026-02-14 02:29:48
447,Tena Lukas,1438.0,WTA,up,Croatia,129,2026-02-14 02:29:48
448,Leonie Kung,,WTA,up,Switzerland,128,2026-02-14 02:29:48
449,Yufei Ren,51632.0,WTA,down,China,127,2026-02-14 02:29:48
450,Britt Du Pree,54738.0,WTA,up,Netherlands,127,2026-02-14 02:29:48
451,Thaisa Pedretti,4778.0,WTA,up,Brazil,126,2026-02-14 02:29:48
