place,player,player_key,league,movement,country,points,download_time
108,Francesco Maestrelli,1180.0,ATP,down,Italy,553,2026-02-12 02:42:18
109,Patrick Kypson,8130.0,ATP,up,USA,552,2026-02-12 02:42:18
110,Zachary Svajda,2986.0,ATP,up,USA,551,2026-02-12 02:42:18
111,Jordan Thompson,207.0,ATP,up,Australia,548,2026-02-12 02:42:18
112,Mackenzie McDonald,2839.0,ATP,up,USA,547,2026-02-12 02:42:18
113,Rinky Hijikata,3317.0,ATP,up,Australia,546,2026-02-12 02:42:18
114,Tomas Barrios Vera,396.0,ATP,up,Chile,546,2026-02-12 02:42:18
115,Shintaro Mochizuki,1880.0,ATP,up,Japan,537,2026-02-12 02:42:18
116,Hsin Tseng Chun,389.0,ATP,down,Taiwan,536,2026-02-12 02:42:18
117,David Goffin,2385.0,ATP,up,Belgium,515,2026-02-12 02:42:18
118,Otto Virtanen,767.0,ATP,up,Finland,513,2026-02-12 02:42:18
119,Christopher O'Connell,421.0,ATP,same,Australia,511,2026-02-12 02:42:18
120,Titouan Droguet,8926.0,ATP,down,France,510,2026-02-12 02:42:18
121,Elmer Moller,39675.0,ATP,up,Denmark,509,2026-02-12 02:42:18
122,Dino Prizmic,10869.0,ATP,up,Croatia,507,2026-02-12 02:42:18
123,Dusan Lajovic,2675.0,ATP,same,Serbia,503,2026-02-12 02:42:18
124,Rafael Jodar,50323.0,ATP,same,Spain,498,2026-02-12 02:42:18
125,Jan Choinski,5979.0,ATP,same,United Kingdom,498,2026-02-12 02:42:18
126,Luca van Assche,1066.0,ATP,down,France,493,2026-02-12 02:42:18
127,Vilius Gaubas,9385.0,ATP,up,Lithuania,490,2026-02-12 02:42:18
128,Kyrian Jacquet,1335.0,ATP,up,France,489,2026-02-12 02:42:18
129,Borna Coric,3136.0,ATP,down,Croatia,488,2026-02-12 02:42:18
130,Martin Damm,1317.0,ATP,down,USA,486,2026-02-12 02:42:18
131,Benjamin Bonzi,1771.0,ATP,up,France,484,2026-02-12 02:42:18
132,Nicolai Budkov Kjaer,55163.0,ATP,down,Norway,476,2026-02-12 02:42:18
133,Billy Harris,1186.0,ATP,up,United Kingdom,474,2026-02-12 02:42:18
134,Marco Trungelliti,395.0,ATP,same,Argentina,472,2026-02-12 02:42:18
135,Sebastian Ofner,359.0,ATP,same,Austria,471,2026-02-12 02:42:18
136,Coleman Wong Chak Lam,2227.0,ATP,same,Hong Kong,466,2026-02-12 02:42:18
137,Nikoloz Basilashvili,424.0,ATP,same,Georgia,464,2026-02-12 02:42:18
138,Dane Sweeny,1308.0,ATP,down,Australia,464,2026-02-12 02:42:18
139,Chris Rodesch,5980.0,ATP,up,Luxembourg,456,2026-02-12 02:42:18
140,Brandon Holt,8158.0,ATP,up,USA,453,2026-02-12 02:42:18
141,Yunchaokete Bu,796.0,ATP,up,China,449,2026-02-12 02:42:18
142,Colton Smith,54466.0,ATP,down,USA,446,2026-02-12 02:42:18
143,Nicolas Jarry,400.0,ATP,up,Chile,441,2026-02-12 02:42:18
144,Sho Shimabukuro,9608.0,ATP,up,Japan,441,2026-02-12 02:42:18
145,Andrea Pellegrino,2001.0,ATP,up,Italy,434,2026-02-12 02:42:18
146,Moez Echargui,1207.0,ATP,up,Tunisia,434,2026-02-12 02:42:18
