results_for_player_key,event_key,event_date,event_time,event_first_player,first_player_key,event_second_player,second_player_key,event_final_result,event_game_result,event_serve,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live,event_qualification,event_first_player_logo,event_second_player_logo,download_time
,12099950,2026-02-02,11:00,D. Yastremska,2813,B. Haddad Maia,1951,-,-,,,1,Wta Singles,WTA Abu Dhabi,3872,WTA Abu Dhabi - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/2813_d-yastremska.jpg,https://api.api-tennis.com/logo-tennis/1951_b-haddad-maia.jpg,2026-02-01 15:47:17
,12099952,2026-02-02,10:00,N. Bartunkova,9196,A. Blinkova,1779,-,-,,,1,Wta Singles,WTA Ostrava,3646,WTA Ostrava - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/9196_n-bartunkova.jpg,https://api.api-tennis.com/logo-tennis/1779_a-blinkova.jpg,2026-02-01 15:47:17
,12099954,2026-02-02,10:00,L. Havlickova,8975,K. Boulter,2993,-,-,,,1,Wta Singles,WTA Ostrava,3646,WTA Ostrava - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/8975_l-havlickova.jpg,https://api.api-tennis.com/logo-tennis/2993_k-boulter.jpg,2026-02-01 15:47:17
,12099956,2026-02-02,10:00,S. Kraus,1424,V. Golubic,525,-,-,,,1,Wta Singles,WTA Ostrava,3646,WTA Ostrava - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/1424_s-kraus.jpg,https://api.api-tennis.com/logo-tennis/525_v-golubic.jpg,2026-02-01 15:47:17
,12099958,2026-02-02,10:00,A. Parks,1792,J. Grabher,489,-,-,,,1,Wta Singles,WTA Ostrava,3646,WTA Ostrava - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/1792_a-parks.jpg,https://api.api-tennis.com/logo-tennis/489_j-grabher.jpg,2026-02-01 15:47:17
,12099959,2026-02-02,10:00,D. Parry,1833,O. Dodin,523,-,-,,,1,Wta Singles,WTA Ostrava,3646,WTA Ostrava - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/1833_d-parry.jpg,https://api.api-tennis.com/logo-tennis/523_o-dodin.jpg,2026-02-01 15:47:17
,12099962,2026-02-02,07:30,M. Hontama,1787,A. Ibragimova,51378,-,-,,,1,Challenger Women Singles,Mumbai,2797,Mumbai - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/1787_m-hontama.jpg,https://api.api-tennis.com/logo-tennis/51378_a-ibragimova.jpg,2026-02-01 15:47:17
,12099963,2026-02-02,10:30,P. Iatcenko,9264,M. Yamaguchi,98,-,-,,,1,Challenger Women Singles,Mumbai,2797,Mumbai - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/9264_p-iatcenko.jpg,https://api.api-tennis.com/logo-tennis/98_m-yamaguchi.jpg,2026-02-01 15:47:17
,12099964,2026-02-02,13:30,L. Jeanjean,9118,V. Chaudhari,13982,-,-,,,1,Challenger Women Singles,Mumbai,2797,Mumbai - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/9118_l-jeanjean.jpg,https://api.api-tennis.com/logo-tennis/13982_v-chaudhari.jpg,2026-02-01 15:47:17
,12099969,2026-02-02,09:00,M. Sawangkaew,12716,V. Morvayova,72,-,-,,,1,Challenger Women Singles,Mumbai,2797,Mumbai - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/12716_m-sawangkaew.jpg,https://api.api-tennis.com/logo-tennis/72_v-morvayova.jpg,2026-02-01 15:47:17
,12100057,2026-02-02,10:00,R. Albot,363,C. Vandermeersch,11809,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/363_r-albot.jpg,https://api.api-tennis.com/logo-tennis/11809_c-vandermeersch.jpg,2026-02-01 15:47:17
,12100058,2026-02-02,10:00,R. Brancaccio,1873,C. Hemery,1206,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/1873_r-brancaccio.jpg,https://api.api-tennis.com/logo-tennis/1206_c-hemery.jpg,2026-02-01 15:47:17
,12100059,2026-02-02,10:00,C. Broom,745,S. Napolitano,3915,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/745_c-broom.jpg,https://api.api-tennis.com/logo-tennis/3915_s-napolitano.jpg,2026-02-01 15:47:17
,12100060,2026-02-02,10:00,G. Ferrari,658,P. Brunclik,38921,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/658_g-ferrari.jpg,https://api.api-tennis.com/logo-tennis/38921_p-brunclik.jpg,2026-02-01 15:47:17
,12100061,2026-02-02,10:00,G. Fonio,1855,S. Gulin,13386,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/1855_g-fonio.jpg,https://api.api-tennis.com/logo-tennis/13386_s-gulin.jpg,2026-02-01 15:47:17
,12100062,2026-02-02,10:00,F. Forti,1191,P. Basile,69812,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/1191_f-forti.jpg,https://api.api-tennis.com/logo-tennis/69812_p-basile.jpg,2026-02-01 15:47:17
,12100063,2026-02-02,10:00,I. Gakhov,574,F. Arnaboldi,1240,-,-,,,1,Challenger Men - Singles," Cesenatico (Italy), Hard (Indoor)",0,,,0,,https://api.api-tennis.com/logo-tennis/574_i-gakhov.jpg,https://api.api-tennis.com/logo-tennis/1240_f-arnaboldi.jpg,2026-02-01 15:47:17
