event_key,event_date,set_number,number_game,player_served,serve_winner,serve_lost,game_score,number_point,point_score,break_point,set_point,match_point,download_time
12006834,2025-01-12,Set 2,7,Second Player,Second Player,,1 - 6,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,7,Second Player,Second Player,,1 - 6,2,0 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 2,7,Second Player,Second Player,,1 - 6,3,0 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,1,First Player,Second Player,First Player,0 - 1,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,1,First Player,Second Player,First Player,0 - 1,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,1,First Player,Second Player,First Player,0 - 1,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,1,First Player,Second Player,First Player,0 - 1,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,1,First Player,Second Player,First Player,0 - 1,5,30 - 40,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,2,Second Player,First Player,Second Player,1 - 1,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,2,Second Player,First Player,Second Player,1 - 1,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,2,Second Player,First Player,Second Player,1 - 1,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,2,Second Player,First Player,Second Player,1 - 1,4,40 - 15,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,2,Second Player,First Player,Second Player,1 - 1,5,40 - 30,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,3,First Player,First Player,,2 - 1,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,3,First Player,First Player,,2 - 1,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,3,First Player,First Player,,2 - 1,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,3,First Player,First Player,,2 - 1,4,40 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,4,Second Player,Second Player,,2 - 2,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,4,Second Player,Second Player,,2 - 2,2,0 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,4,Second Player,Second Player,,2 - 2,3,0 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,4,Second Player,Second Player,,2 - 2,4,15 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 3,4,Second Player,Second Player,,2 - 2,5,30 - 40,,,,2026-01-11 16:03:58
